FI_CODE,FI_NAME_THAI,FI_NAME_ENGLISH,OPEN_DATE
981,บ. อินเตอร์เนชั่นแนล คอมเมอร์เชียล โคออร์ดิเนชั่น จำกัด,"INTERNATIONAL COMMERCIAL COORDINATION CO.,LTD.",25310829
982,บ. เอก-ชัย ดีสทริบิวชั่น ซิสเทม จำกัด,"EK-CHAI DISTRIBUTION SYSTEMS CO., LTD.",25520513
983,บ. เอเชีย เพย์ (ประเทศไทย) จำกัด,ASIA PAY (THAILAND) LIMITED,25520513
984,บ. ระบบขนส่งมวลชนกรุงเทพ จำกัด (มหาชน),"BANGKOK MASS TRANSIT SYSTEM PUBLIC CO., LTD.",25520818
985,บ. สำนักหักบัญชี (ประเทศไทย) จำกัด,"THAILAND CLEARING HOUSE CO., LTD.",25530205
986,บ. โกลบอล เซอร์วิส เซ็นเตอร์ จำกัด,GLOBAL SERVICE CENTER,25530305
987,บ. กสท โทรคมนาคม จำกัด (มหาชน),CAT TELECOM PUBLIC COMPANY LIMITED,25530205
988,บ. สหพัฒนพิบูล จำกัด (มหาชน),SAHA PATHANAPIBUL PLC.,25530618
989,บ. ดีเอฟ มาร์เก็ตเพลส จำกัด,DF MARKETPLACE LIMIED,25531015
990,บ. ไทยเอซ แคปปิตอล จำกัด,"THAIACE CAPITAL CO., LTD.",25570203
991,บ. แอตเซลเล้นซ์ (ประเทศไทย) จำกัด,ACCELLENCE (THAILAND) LIMITED,25571118
992,บ. จีเอชแอล อีเปย์เม้นส์ จำกัด,"GHL EPAYMENT CO., LTD.",25590114
993,บ. เพย์ โซลูชั่น จำกัด,"PAY SOLUTION CO.,LTD.",25580101
994,บ. ไฮเวย์ จำกัด,"HI-WAY CO., LTD.",25580506
996,บ. อี-โพส เซอร์วิส จำกัด,"E-POS SERVICE CO.,LTD.",25571112
998,บ. ซัมมิท แคปปิตอล ลีสซิ่ง จำกัด,"SUMMIT CAPITAL LEASING CO., LTD.",25590516
,,,
,,,
REMARK,,,
ข้อมูล Swift Code,โปรดเรียกใช้ข้อมูลจากหนังสือ BIC Directory หรือ www.swift.com,,
005,ธ. เดอะรอยัลแบงก์อ๊อฟสกอตแลนด์ เอ็น.วี.,เดิมชื่อ ธ.เอบีเอ็น แอมโร เอ็น.วี. สาขากรุงเทพฯ  เปลี่ยนเมื่อ 06/02/2553,
010,ธนาคารแห่งโตเกียว-มิตซูบิชิ ยูเอฟเจ  จำกัด,เดิมชื่อ ธ.แห่งโตเกียว-มิตซูบิชิ จำกัด เปลี่ยนเมื่อ 01/01/2549,
020,ธนาคารสแตนดาร์ดชาร์เตอร์ด (ไทย) จำกัด (มหาชน),เดิมชื่อธ.สแตนดาร์ดชาร์เตอร์ดนครธน จำกัด (มหาชน) เปลี่ยนชื่อเมื่อควบรวมกับ ธ.สแตนดาร์ดชาร์เตอร์ สาขากรุงเทพ เมื่อ 01/10/2548,
022,ธ. ซีไอเอ็มบี ไทย จำกัด (มหาชน),เดิมชื่อ ธ.ไทยธนาคาร จำกัด (มหาชน) เปลี่ยนเมื่อ 04/05/2552,
024,ธ. ยูโอบี จำกัด (มหาชน),"เดิมชื่อธ.เอเชีย จำกัด (มหาชน) เปลี่ยนชื่อเมื่อควบรวมกับ ธ.ยูโอบี รัตนสิน จำกัด (มหาชน) เมื่อ 28/11/2548
และเปลี่ยนชื่อจาก  ธนาคารยูไนเต็ด โอเวอร์ซีส์ (ไทย) จำกัด (มหาชน) เป็น ธนาคารยูโอบี จำกัด (มหาชน) 
ส่วนชื่อภาษาอังกฤษคงเดิม เมื่อ 02/05/5249",
